,imageName,imageOrigin,xBudCenter,yBudCenter,radio,class,type
7123,/home/wences/Documents/corpus-26000/corpus-26000-bc/6527.jpg,0192.jpg,2904,2400,250,False,0
7124,/home/wences/Documents/corpus-26000/corpus-26000-bc/6528.jpg,0192.jpg,2904,2576,250,False,0
7125,/home/wences/Documents/corpus-26000/corpus-26000-bc/6529.jpg,0192.jpg,3080,1344,250,False,0
7126,/home/wences/Documents/corpus-26000/corpus-26000-bc/6530.jpg,0192.jpg,3080,1520,250,False,0
7127,/home/wences/Documents/corpus-26000/corpus-26000-bc/6531.jpg,0192.jpg,3080,1696,250,False,0
7128,/home/wences/Documents/corpus-26000/corpus-26000-bc/6532.jpg,0192.jpg,3080,1872,250,False,0
7129,/home/wences/Documents/corpus-26000/corpus-26000-bc/6533.jpg,0192.jpg,3080,2048,250,False,0
7130,/home/wences/Documents/corpus-26000/corpus-26000-bc/6534.jpg,0192.jpg,3256,1344,250,False,0
7131,/home/wences/Documents/corpus-26000/corpus-26000-bc/6535.jpg,0192.jpg,3256,1520,250,False,0
7132,/home/wences/Documents/corpus-26000/corpus-26000-bc/6536.jpg,0192.jpg,3256,1696,250,False,0
7133,/home/wences/Documents/corpus-26000/corpus-26000-bc/6538.jpg,0193.jpg,2680,1156,300,False,0
7134,/home/wences/Documents/corpus-26000/corpus-26000-bc/6539.jpg,0193.jpg,2680,1356,300,False,0
7135,/home/wences/Documents/corpus-26000/corpus-26000-bc/6540.jpg,0193.jpg,2680,2356,300,False,0
7136,/home/wences/Documents/corpus-26000/corpus-26000-bc/6541.jpg,0193.jpg,2880,956,300,False,0
7137,/home/wences/Documents/corpus-26000/corpus-26000-bc/6542.jpg,0193.jpg,2880,1156,300,False,0
7138,/home/wences/Documents/corpus-26000/corpus-26000-bc/6543.jpg,0193.jpg,2880,1356,300,False,0
7139,/home/wences/Documents/corpus-26000/corpus-26000-bc/6544.jpg,0193.jpg,2880,1556,300,False,0
7140,/home/wences/Documents/corpus-26000/corpus-26000-bc/6545.jpg,0193.jpg,3080,956,300,False,0
7141,/home/wences/Documents/corpus-26000/corpus-26000-bc/6546.jpg,0193.jpg,3080,1156,300,False,0
7142,/home/wences/Documents/corpus-26000/corpus-26000-bc/6547.jpg,0193.jpg,3080,1356,300,False,0
7143,/home/wences/Documents/corpus-26000/corpus-26000-bc/6548.jpg,0193.jpg,3080,1556,300,False,0
7144,/home/wences/Documents/corpus-26000/corpus-26000-bc/6549.jpg,0193.jpg,1844,1724,300,False,0
7145,/home/wences/Documents/corpus-26000/corpus-26000-bc/6550.jpg,0193.jpg,1844,1924,300,False,0
7146,/home/wences/Documents/corpus-26000/corpus-26000-bc/6551.jpg,0193.jpg,2044,1524,300,False,0
7147,/home/wences/Documents/corpus-26000/corpus-26000-bc/6552.jpg,0193.jpg,2044,1724,300,False,0
7148,/home/wences/Documents/corpus-26000/corpus-26000-bc/6553.jpg,0193.jpg,2044,1924,300,False,0
7149,/home/wences/Documents/corpus-26000/corpus-26000-bc/6554.jpg,0193.jpg,2244,1724,300,False,0
7150,/home/wences/Documents/corpus-26000/corpus-26000-bc/6555.jpg,0193.jpg,2244,1924,300,False,0
7151,/home/wences/Documents/corpus-26000/corpus-26000-bc/6556.jpg,0193.jpg,2420,2212,300,False,0
7152,/home/wences/Documents/corpus-26000/corpus-26000-bc/6557.jpg,0193.jpg,2620,2212,300,False,0
7153,/home/wences/Documents/corpus-26000/corpus-26000-bc/6558.jpg,0193.jpg,2820,2212,300,False,0
7154,/home/wences/Documents/corpus-26000/corpus-26000-bc/6559.jpg,0193.jpg,2384,1568,300,False,0
7155,/home/wences/Documents/corpus-26000/corpus-26000-bc/6560.jpg,0193.jpg,2384,1768,300,False,0
7156,/home/wences/Documents/corpus-26000/corpus-26000-bc/6561.jpg,0193.jpg,2384,1968,300,False,0
7157,/home/wences/Documents/corpus-26000/corpus-26000-bc/6562.jpg,0193.jpg,2384,2168,300,False,0
7158,/home/wences/Documents/corpus-26000/corpus-26000-bc/6563.jpg,0193.jpg,2384,2368,300,False,0
7159,/home/wences/Documents/corpus-26000/corpus-26000-bc/6565.jpg,0194.jpg,2184,1472,300,False,0
7160,/home/wences/Documents/corpus-26000/corpus-26000-bc/6566.jpg,0194.jpg,2184,1672,300,False,0
7161,/home/wences/Documents/corpus-26000/corpus-26000-bc/6567.jpg,0194.jpg,2184,1872,300,False,0
7162,/home/wences/Documents/corpus-26000/corpus-26000-bc/6568.jpg,0194.jpg,2384,1472,300,False,0
7163,/home/wences/Documents/corpus-26000/corpus-26000-bc/6569.jpg,0194.jpg,2384,1672,300,False,0
7164,/home/wences/Documents/corpus-26000/corpus-26000-bc/6570.jpg,0194.jpg,2384,1872,300,False,0
7165,/home/wences/Documents/corpus-26000/corpus-26000-bc/6571.jpg,0194.jpg,2584,1472,300,False,0
7166,/home/wences/Documents/corpus-26000/corpus-26000-bc/6572.jpg,0194.jpg,2784,1472,300,False,0
7167,/home/wences/Documents/corpus-26000/corpus-26000-bc/6573.jpg,0194.jpg,2784,1672,300,False,0
7168,/home/wences/Documents/corpus-26000/corpus-26000-bc/6574.jpg,0194.jpg,2984,1272,300,False,0
7169,/home/wences/Documents/corpus-26000/corpus-26000-bc/6575.jpg,0194.jpg,2984,1472,300,False,0
7170,/home/wences/Documents/corpus-26000/corpus-26000-bc/6576.jpg,0194.jpg,3184,1272,300,False,0
7171,/home/wences/Documents/corpus-26000/corpus-26000-bc/6577.jpg,0194.jpg,3184,1472,300,False,0
7172,/home/wences/Documents/corpus-26000/corpus-26000-bc/6578.jpg,0194.jpg,3184,1672,300,False,0
7173,/home/wences/Documents/corpus-26000/corpus-26000-bc/6579.jpg,0194.jpg,3184,1872,300,False,0
7174,/home/wences/Documents/corpus-26000/corpus-26000-bc/6581.jpg,0195.jpg,2300,1148,250,False,0
7175,/home/wences/Documents/corpus-26000/corpus-26000-bc/6582.jpg,0195.jpg,2475,1148,250,False,0
7176,/home/wences/Documents/corpus-26000/corpus-26000-bc/6583.jpg,0195.jpg,2475,1324,250,False,0
7177,/home/wences/Documents/corpus-26000/corpus-26000-bc/6584.jpg,0195.jpg,2475,1500,250,False,0
7178,/home/wences/Documents/corpus-26000/corpus-26000-bc/6585.jpg,0195.jpg,2475,2202,250,False,0
7179,/home/wences/Documents/corpus-26000/corpus-26000-bc/6586.jpg,0195.jpg,2651,1148,250,False,0
7180,/home/wences/Documents/corpus-26000/corpus-26000-bc/6587.jpg,0195.jpg,2651,1324,250,False,0
7181,/home/wences/Documents/corpus-26000/corpus-26000-bc/6588.jpg,0195.jpg,2651,1500,250,False,0
7182,/home/wences/Documents/corpus-26000/corpus-26000-bc/6589.jpg,0195.jpg,2651,2202,250,False,0
7183,/home/wences/Documents/corpus-26000/corpus-26000-bc/6590.jpg,0195.jpg,2870,1500,250,False,0
7184,/home/wences/Documents/corpus-26000/corpus-26000-bc/6591.jpg,0195.jpg,2870,2202,250,False,0
7185,/home/wences/Documents/corpus-26000/corpus-26000-bc/6592.jpg,0195.jpg,3045,1500,250,False,0
7186,/home/wences/Documents/corpus-26000/corpus-26000-bc/6593.jpg,0195.jpg,3045,1675,250,False,0
7187,/home/wences/Documents/corpus-26000/corpus-26000-bc/6594.jpg,0195.jpg,2935,1643,250,False,0
7188,/home/wences/Documents/corpus-26000/corpus-26000-bc/6595.jpg,0195.jpg,2935,1819,250,False,0
7189,/home/wences/Documents/corpus-26000/corpus-26000-bc/6596.jpg,0195.jpg,2935,1994,250,False,0
7190,/home/wences/Documents/corpus-26000/corpus-26000-bc/6598.jpg,0196.jpg,2059,1913,250,False,0
7191,/home/wences/Documents/corpus-26000/corpus-26000-bc/6599.jpg,0196.jpg,2059,2089,250,False,0
7192,/home/wences/Documents/corpus-26000/corpus-26000-bc/6600.jpg,0196.jpg,2235,859,250,False,0
7193,/home/wences/Documents/corpus-26000/corpus-26000-bc/6601.jpg,0196.jpg,2235,1035,250,False,0
7194,/home/wences/Documents/corpus-26000/corpus-26000-bc/6602.jpg,0196.jpg,2235,1211,250,False,0
7195,/home/wences/Documents/corpus-26000/corpus-26000-bc/6603.jpg,0196.jpg,2235,1386,250,False,0
7196,/home/wences/Documents/corpus-26000/corpus-26000-bc/6604.jpg,0196.jpg,2235,1562,250,False,0
7197,/home/wences/Documents/corpus-26000/corpus-26000-bc/6605.jpg,0196.jpg,2235,1738,250,False,0
7198,/home/wences/Documents/corpus-26000/corpus-26000-bc/6606.jpg,0196.jpg,2235,1913,250,False,0
7199,/home/wences/Documents/corpus-26000/corpus-26000-bc/6607.jpg,0196.jpg,2235,2089,250,False,0
7200,/home/wences/Documents/corpus-26000/corpus-26000-bc/6608.jpg,0196.jpg,2410,859,250,False,0
7201,/home/wences/Documents/corpus-26000/corpus-26000-bc/6609.jpg,0196.jpg,2410,1035,250,False,0
7202,/home/wences/Documents/corpus-26000/corpus-26000-bc/6610.jpg,0196.jpg,2410,1211,250,False,0
7203,/home/wences/Documents/corpus-26000/corpus-26000-bc/6611.jpg,0196.jpg,2410,1386,250,False,0
7204,/home/wences/Documents/corpus-26000/corpus-26000-bc/6612.jpg,0196.jpg,2410,1562,250,False,0
7205,/home/wences/Documents/corpus-26000/corpus-26000-bc/6613.jpg,0196.jpg,2410,1913,250,False,0
7206,/home/wences/Documents/corpus-26000/corpus-26000-bc/6614.jpg,0196.jpg,2410,2089,250,False,0
7207,/home/wences/Documents/corpus-26000/corpus-26000-bc/6615.jpg,0196.jpg,2410,2264,250,False,0
7208,/home/wences/Documents/corpus-26000/corpus-26000-bc/6616.jpg,0196.jpg,2921,1767,250,False,0
7209,/home/wences/Documents/corpus-26000/corpus-26000-bc/6618.jpg,0197.jpg,2048,2180,300,False,0
7210,/home/wences/Documents/corpus-26000/corpus-26000-bc/6619.jpg,0197.jpg,2048,2380,300,False,0
7211,/home/wences/Documents/corpus-26000/corpus-26000-bc/6620.jpg,0197.jpg,2248,1980,300,False,0
7212,/home/wences/Documents/corpus-26000/corpus-26000-bc/6621.jpg,0197.jpg,2248,2180,300,False,0
7213,/home/wences/Documents/corpus-26000/corpus-26000-bc/6622.jpg,0197.jpg,2248,2380,300,False,0
7214,/home/wences/Documents/corpus-26000/corpus-26000-bc/6623.jpg,0197.jpg,2448,1580,300,False,0
7215,/home/wences/Documents/corpus-26000/corpus-26000-bc/6624.jpg,0197.jpg,2448,1780,300,False,0
7216,/home/wences/Documents/corpus-26000/corpus-26000-bc/6625.jpg,0197.jpg,2448,1980,300,False,0
7217,/home/wences/Documents/corpus-26000/corpus-26000-bc/6626.jpg,0197.jpg,2448,2180,300,False,0
7218,/home/wences/Documents/corpus-26000/corpus-26000-bc/6627.jpg,0197.jpg,2448,2380,300,False,0
7219,/home/wences/Documents/corpus-26000/corpus-26000-bc/6628.jpg,0197.jpg,2448,2580,300,False,0
7220,/home/wences/Documents/corpus-26000/corpus-26000-bc/6629.jpg,0197.jpg,2648,1380,300,False,0
7221,/home/wences/Documents/corpus-26000/corpus-26000-bc/6630.jpg,0197.jpg,2648,1580,300,False,0
7222,/home/wences/Documents/corpus-26000/corpus-26000-bc/6631.jpg,0197.jpg,2648,2180,300,False,0
7223,/home/wences/Documents/corpus-26000/corpus-26000-bc/6632.jpg,0197.jpg,2648,2380,300,False,0
7224,/home/wences/Documents/corpus-26000/corpus-26000-bc/6633.jpg,0197.jpg,2648,2580,300,False,0
7225,/home/wences/Documents/corpus-26000/corpus-26000-bc/6634.jpg,0197.jpg,2848,1180,300,False,0
7226,/home/wences/Documents/corpus-26000/corpus-26000-bc/6635.jpg,0197.jpg,2848,1380,300,False,0
7227,/home/wences/Documents/corpus-26000/corpus-26000-bc/6636.jpg,0197.jpg,2848,2380,300,False,0
7228,/home/wences/Documents/corpus-26000/corpus-26000-bc/6637.jpg,0197.jpg,3048,780,300,False,0
7229,/home/wences/Documents/corpus-26000/corpus-26000-bc/6638.jpg,0197.jpg,3048,980,300,False,0
7230,/home/wences/Documents/corpus-26000/corpus-26000-bc/6639.jpg,0197.jpg,3048,1180,300,False,0
7231,/home/wences/Documents/corpus-26000/corpus-26000-bc/6640.jpg,0197.jpg,3048,1380,300,False,0
7232,/home/wences/Documents/corpus-26000/corpus-26000-bc/6641.jpg,0197.jpg,3048,1580,300,False,0
7233,/home/wences/Documents/corpus-26000/corpus-26000-bc/6642.jpg,0197.jpg,3248,580,300,False,0
7234,/home/wences/Documents/corpus-26000/corpus-26000-bc/6643.jpg,0197.jpg,3248,780,300,False,0
7235,/home/wences/Documents/corpus-26000/corpus-26000-bc/6644.jpg,0197.jpg,3248,980,300,False,0
7236,/home/wences/Documents/corpus-26000/corpus-26000-bc/6645.jpg,0197.jpg,3248,1180,300,False,0
7237,/home/wences/Documents/corpus-26000/corpus-26000-bc/6646.jpg,0197.jpg,3248,1380,300,False,0
7238,/home/wences/Documents/corpus-26000/corpus-26000-bc/6647.jpg,0197.jpg,3248,1580,300,False,0
7239,/home/wences/Documents/corpus-26000/corpus-26000-bc/6648.jpg,0197.jpg,3448,380,300,False,0
7240,/home/wences/Documents/corpus-26000/corpus-26000-bc/6649.jpg,0197.jpg,3448,580,300,False,0
7241,/home/wences/Documents/corpus-26000/corpus-26000-bc/6650.jpg,0197.jpg,3448,780,300,False,0
7242,/home/wences/Documents/corpus-26000/corpus-26000-bc/6651.jpg,0197.jpg,3448,980,300,False,0
7243,/home/wences/Documents/corpus-26000/corpus-26000-bc/6652.jpg,0197.jpg,3448,1180,300,False,0
7244,/home/wences/Documents/corpus-26000/corpus-26000-bc/6653.jpg,0197.jpg,3448,1380,300,False,0
7245,/home/wences/Documents/corpus-26000/corpus-26000-bc/6654.jpg,0197.jpg,3448,1580,300,False,0
7246,/home/wences/Documents/corpus-26000/corpus-26000-bc/6655.jpg,0197.jpg,3648,380,300,False,0
7247,/home/wences/Documents/corpus-26000/corpus-26000-bc/6656.jpg,0197.jpg,3648,580,300,False,0
7248,/home/wences/Documents/corpus-26000/corpus-26000-bc/6657.jpg,0197.jpg,3648,780,300,False,0
7249,/home/wences/Documents/corpus-26000/corpus-26000-bc/6658.jpg,0197.jpg,3648,980,300,False,0
7250,/home/wences/Documents/corpus-26000/corpus-26000-bc/6659.jpg,0197.jpg,3648,1180,300,False,0
7251,/home/wences/Documents/corpus-26000/corpus-26000-bc/6660.jpg,0197.jpg,3648,1380,300,False,0
7252,/home/wences/Documents/corpus-26000/corpus-26000-bc/6661.jpg,0197.jpg,3848,380,300,False,0
7253,/home/wences/Documents/corpus-26000/corpus-26000-bc/6662.jpg,0197.jpg,3848,580,300,False,0
7254,/home/wences/Documents/corpus-26000/corpus-26000-bc/6663.jpg,0197.jpg,3848,780,300,False,0
7255,/home/wences/Documents/corpus-26000/corpus-26000-bc/6664.jpg,0197.jpg,3848,980,300,False,0
7256,/home/wences/Documents/corpus-26000/corpus-26000-bc/6665.jpg,0197.jpg,4048,580,300,False,0
7257,/home/wences/Documents/corpus-26000/corpus-26000-bc/6667.jpg,0198.jpg,2408,2376,300,False,0
7258,/home/wences/Documents/corpus-26000/corpus-26000-bc/6668.jpg,0198.jpg,2408,2576,300,False,0
7259,/home/wences/Documents/corpus-26000/corpus-26000-bc/6669.jpg,0198.jpg,2608,2376,300,False,0
7260,/home/wences/Documents/corpus-26000/corpus-26000-bc/6670.jpg,0198.jpg,2608,2576,300,False,0
7261,/home/wences/Documents/corpus-26000/corpus-26000-bc/6671.jpg,0198.jpg,2608,2776,300,False,0
7262,/home/wences/Documents/corpus-26000/corpus-26000-bc/6672.jpg,0198.jpg,2808,2376,300,False,0
7263,/home/wences/Documents/corpus-26000/corpus-26000-bc/6673.jpg,0198.jpg,2808,2576,300,False,0
7264,/home/wences/Documents/corpus-26000/corpus-26000-bc/6674.jpg,0198.jpg,2808,2776,300,False,0
7265,/home/wences/Documents/corpus-26000/corpus-26000-bc/6675.jpg,0198.jpg,3008,2176,300,False,0
7266,/home/wences/Documents/corpus-26000/corpus-26000-bc/6676.jpg,0198.jpg,3008,2376,300,False,0
7267,/home/wences/Documents/corpus-26000/corpus-26000-bc/6677.jpg,0198.jpg,3008,2576,300,False,0
7268,/home/wences/Documents/corpus-26000/corpus-26000-bc/6678.jpg,0198.jpg,3008,2776,300,False,0
7269,/home/wences/Documents/corpus-26000/corpus-26000-bc/6679.jpg,0198.jpg,3208,1576,300,False,0
7270,/home/wences/Documents/corpus-26000/corpus-26000-bc/6680.jpg,0198.jpg,3208,1776,300,False,0
7271,/home/wences/Documents/corpus-26000/corpus-26000-bc/6681.jpg,0198.jpg,3208,1976,300,False,0
7272,/home/wences/Documents/corpus-26000/corpus-26000-bc/6682.jpg,0198.jpg,3208,2176,300,False,0
7273,/home/wences/Documents/corpus-26000/corpus-26000-bc/6683.jpg,0198.jpg,3208,2376,300,False,0
7274,/home/wences/Documents/corpus-26000/corpus-26000-bc/6684.jpg,0198.jpg,3208,2576,300,False,0
7275,/home/wences/Documents/corpus-26000/corpus-26000-bc/6685.jpg,0198.jpg,3408,1576,300,False,0
7276,/home/wences/Documents/corpus-26000/corpus-26000-bc/6686.jpg,0198.jpg,3408,1776,300,False,0
7277,/home/wences/Documents/corpus-26000/corpus-26000-bc/6687.jpg,0198.jpg,3408,1976,300,False,0
7278,/home/wences/Documents/corpus-26000/corpus-26000-bc/6688.jpg,0198.jpg,3408,2176,300,False,0
7279,/home/wences/Documents/corpus-26000/corpus-26000-bc/6689.jpg,0198.jpg,3408,2376,300,False,0
7280,/home/wences/Documents/corpus-26000/corpus-26000-bc/6690.jpg,0198.jpg,3408,2576,300,False,0
7281,/home/wences/Documents/corpus-26000/corpus-26000-bc/6691.jpg,0198.jpg,3608,1376,300,False,0
7282,/home/wences/Documents/corpus-26000/corpus-26000-bc/6692.jpg,0198.jpg,3608,1576,300,False,0
7283,/home/wences/Documents/corpus-26000/corpus-26000-bc/6693.jpg,0198.jpg,3608,1776,300,False,0
7284,/home/wences/Documents/corpus-26000/corpus-26000-bc/6694.jpg,0198.jpg,3608,1976,300,False,0
7285,/home/wences/Documents/corpus-26000/corpus-26000-bc/6695.jpg,0198.jpg,3608,2176,300,False,0
7286,/home/wences/Documents/corpus-26000/corpus-26000-bc/6696.jpg,0198.jpg,3608,2376,300,False,0
7287,/home/wences/Documents/corpus-26000/corpus-26000-bc/6697.jpg,0198.jpg,3608,2576,300,False,0
7288,/home/wences/Documents/corpus-26000/corpus-26000-bc/6698.jpg,0198.jpg,3808,1176,300,False,0
7289,/home/wences/Documents/corpus-26000/corpus-26000-bc/6699.jpg,0198.jpg,3808,1376,300,False,0
7290,/home/wences/Documents/corpus-26000/corpus-26000-bc/6700.jpg,0198.jpg,3808,1576,300,False,0
7291,/home/wences/Documents/corpus-26000/corpus-26000-bc/6701.jpg,0198.jpg,3808,1776,300,False,0
7292,/home/wences/Documents/corpus-26000/corpus-26000-bc/6702.jpg,0198.jpg,3808,1976,300,False,0
7293,/home/wences/Documents/corpus-26000/corpus-26000-bc/6703.jpg,0198.jpg,4008,976,300,False,0
7294,/home/wences/Documents/corpus-26000/corpus-26000-bc/6704.jpg,0198.jpg,4008,1176,300,False,0
7295,/home/wences/Documents/corpus-26000/corpus-26000-bc/6705.jpg,0198.jpg,4008,1376,300,False,0
7296,/home/wences/Documents/corpus-26000/corpus-26000-bc/6706.jpg,0198.jpg,4008,1576,300,False,0
7297,/home/wences/Documents/corpus-26000/corpus-26000-bc/6707.jpg,0198.jpg,4008,1776,300,False,0
7298,/home/wences/Documents/corpus-26000/corpus-26000-bc/6708.jpg,0198.jpg,4008,1976,300,False,0
7299,/home/wences/Documents/corpus-26000/corpus-26000-bc/6709.jpg,0198.jpg,4208,776,300,False,0
7300,/home/wences/Documents/corpus-26000/corpus-26000-bc/6710.jpg,0198.jpg,4208,976,300,False,0
7301,/home/wences/Documents/corpus-26000/corpus-26000-bc/6711.jpg,0198.jpg,4208,1176,300,False,0
7302,/home/wences/Documents/corpus-26000/corpus-26000-bc/6712.jpg,0198.jpg,4208,1376,300,False,0
7303,/home/wences/Documents/corpus-26000/corpus-26000-bc/6713.jpg,0198.jpg,4208,1576,300,False,0
7304,/home/wences/Documents/corpus-26000/corpus-26000-bc/6714.jpg,0198.jpg,4208,1776,300,False,0
7305,/home/wences/Documents/corpus-26000/corpus-26000-bc/6715.jpg,0198.jpg,4408,776,300,False,0
7306,/home/wences/Documents/corpus-26000/corpus-26000-bc/6716.jpg,0198.jpg,4408,976,300,False,0
7307,/home/wences/Documents/corpus-26000/corpus-26000-bc/6717.jpg,0198.jpg,4408,1176,300,False,0
7308,/home/wences/Documents/corpus-26000/corpus-26000-bc/6718.jpg,0198.jpg,4408,1376,300,False,0
7309,/home/wences/Documents/corpus-26000/corpus-26000-bc/6719.jpg,0198.jpg,4608,776,300,False,0
7310,/home/wences/Documents/corpus-26000/corpus-26000-bc/6720.jpg,0198.jpg,4608,976,300,False,0
7311,/home/wences/Documents/corpus-26000/corpus-26000-bc/6721.jpg,0198.jpg,4608,1176,300,False,0
7312,/home/wences/Documents/corpus-26000/corpus-26000-bc/6722.jpg,0198.jpg,4808,776,300,False,0
7313,/home/wences/Documents/corpus-26000/corpus-26000-bc/6723.jpg,0198.jpg,4808,976,300,False,0
7314,/home/wences/Documents/corpus-26000/corpus-26000-bc/6725.jpg,0199.jpg,1952,1784,300,False,0
7315,/home/wences/Documents/corpus-26000/corpus-26000-bc/6726.jpg,0199.jpg,1952,1984,300,False,0
7316,/home/wences/Documents/corpus-26000/corpus-26000-bc/6727.jpg,0199.jpg,1952,2184,300,False,0
7317,/home/wences/Documents/corpus-26000/corpus-26000-bc/6728.jpg,0199.jpg,1952,2384,300,False,0
7318,/home/wences/Documents/corpus-26000/corpus-26000-bc/6729.jpg,0199.jpg,2152,1784,300,False,0
7319,/home/wences/Documents/corpus-26000/corpus-26000-bc/6730.jpg,0199.jpg,2152,1984,300,False,0
7320,/home/wences/Documents/corpus-26000/corpus-26000-bc/6731.jpg,0199.jpg,2152,2184,300,False,0
7321,/home/wences/Documents/corpus-26000/corpus-26000-bc/6732.jpg,0199.jpg,2152,2384,300,False,0
7322,/home/wences/Documents/corpus-26000/corpus-26000-bc/6733.jpg,0199.jpg,2352,1784,300,False,0
7323,/home/wences/Documents/corpus-26000/corpus-26000-bc/6734.jpg,0199.jpg,2352,1984,300,False,0
7324,/home/wences/Documents/corpus-26000/corpus-26000-bc/6735.jpg,0199.jpg,2352,2184,300,False,0
7325,/home/wences/Documents/corpus-26000/corpus-26000-bc/6736.jpg,0199.jpg,2352,2384,300,False,0
7326,/home/wences/Documents/corpus-26000/corpus-26000-bc/6737.jpg,0199.jpg,2552,1584,300,False,0
7327,/home/wences/Documents/corpus-26000/corpus-26000-bc/6738.jpg,0199.jpg,2552,2384,300,False,0
7328,/home/wences/Documents/corpus-26000/corpus-26000-bc/6739.jpg,0199.jpg,2752,1584,300,False,0
7329,/home/wences/Documents/corpus-26000/corpus-26000-bc/6740.jpg,0199.jpg,2952,1584,300,False,0
7330,/home/wences/Documents/corpus-26000/corpus-26000-bc/6741.jpg,0199.jpg,3152,1584,300,False,0
7331,/home/wences/Documents/corpus-26000/corpus-26000-bc/6742.jpg,0199.jpg,3152,1784,300,False,0
7332,/home/wences/Documents/corpus-26000/corpus-26000-bc/6743.jpg,0199.jpg,3152,1984,300,False,0
7333,/home/wences/Documents/corpus-26000/corpus-26000-bc/6744.jpg,0199.jpg,3152,2184,300,False,0
7334,/home/wences/Documents/corpus-26000/corpus-26000-bc/6745.jpg,0199.jpg,3352,1584,300,False,0
7335,/home/wences/Documents/corpus-26000/corpus-26000-bc/6746.jpg,0199.jpg,3352,1784,300,False,0
7336,/home/wences/Documents/corpus-26000/corpus-26000-bc/6747.jpg,0199.jpg,3352,1984,300,False,0
7337,/home/wences/Documents/corpus-26000/corpus-26000-bc/6748.jpg,0199.jpg,3352,2184,300,False,0
7338,/home/wences/Documents/corpus-26000/corpus-26000-bc/6749.jpg,0199.jpg,3552,1584,300,False,0
7339,/home/wences/Documents/corpus-26000/corpus-26000-bc/6750.jpg,0199.jpg,3552,1784,300,False,0
7340,/home/wences/Documents/corpus-26000/corpus-26000-bc/6751.jpg,0199.jpg,3552,1984,300,False,0
7341,/home/wences/Documents/corpus-26000/corpus-26000-bc/6752.jpg,0199.jpg,3552,2184,300,False,0
7342,/home/wences/Documents/corpus-26000/corpus-26000-bc/6753.jpg,0199.jpg,3752,1584,300,False,0
7343,/home/wences/Documents/corpus-26000/corpus-26000-bc/6754.jpg,0199.jpg,3752,1784,300,False,0
7344,/home/wences/Documents/corpus-26000/corpus-26000-bc/6755.jpg,0199.jpg,3752,1984,300,False,0
7345,/home/wences/Documents/corpus-26000/corpus-26000-bc/6756.jpg,0199.jpg,3752,2184,300,False,0
7346,/home/wences/Documents/corpus-26000/corpus-26000-bc/6757.jpg,0199.jpg,3952,1584,300,False,0
7347,/home/wences/Documents/corpus-26000/corpus-26000-bc/6758.jpg,0199.jpg,3952,1784,300,False,0
7348,/home/wences/Documents/corpus-26000/corpus-26000-bc/6759.jpg,0199.jpg,3952,1984,300,False,0
7349,/home/wences/Documents/corpus-26000/corpus-26000-bc/6760.jpg,0199.jpg,4152,1584,300,False,0
7350,/home/wences/Documents/corpus-26000/corpus-26000-bc/6761.jpg,0199.jpg,4152,1784,300,False,0
7351,/home/wences/Documents/corpus-26000/corpus-26000-bc/6762.jpg,0199.jpg,4152,1984,300,False,0
7352,/home/wences/Documents/corpus-26000/corpus-26000-bc/6763.jpg,0199.jpg,4352,1384,300,False,0
7353,/home/wences/Documents/corpus-26000/corpus-26000-bc/6764.jpg,0199.jpg,4352,1584,300,False,0
7354,/home/wences/Documents/corpus-26000/corpus-26000-bc/6765.jpg,0199.jpg,4352,1784,300,False,0
7355,/home/wences/Documents/corpus-26000/corpus-26000-bc/6766.jpg,0199.jpg,4352,1984,300,False,0
7356,/home/wences/Documents/corpus-26000/corpus-26000-bc/6767.jpg,0199.jpg,4552,1384,300,False,0
7357,/home/wences/Documents/corpus-26000/corpus-26000-bc/6768.jpg,0199.jpg,4552,1584,300,False,0
7358,/home/wences/Documents/corpus-26000/corpus-26000-bc/6769.jpg,0199.jpg,4552,1784,300,False,0
7359,/home/wences/Documents/corpus-26000/corpus-26000-bc/6770.jpg,0199.jpg,4552,1984,300,False,0
7360,/home/wences/Documents/corpus-26000/corpus-26000-bc/6771.jpg,0199.jpg,4752,1384,300,False,0
7361,/home/wences/Documents/corpus-26000/corpus-26000-bc/6772.jpg,0199.jpg,4752,1584,300,False,0
7362,/home/wences/Documents/corpus-26000/corpus-26000-bc/6773.jpg,0199.jpg,4752,1784,300,False,0
7363,/home/wences/Documents/corpus-26000/corpus-26000-bc/6774.jpg,0199.jpg,4752,1984,300,False,0
7364,/home/wences/Documents/corpus-26000/corpus-26000-bc/6776.jpg,0200.jpg,1984,2464,300,False,0
7365,/home/wences/Documents/corpus-26000/corpus-26000-bc/6777.jpg,0200.jpg,2184,2464,300,False,0
7366,/home/wences/Documents/corpus-26000/corpus-26000-bc/6778.jpg,0200.jpg,2184,2664,300,False,0
7367,/home/wences/Documents/corpus-26000/corpus-26000-bc/6779.jpg,0200.jpg,2384,2264,300,False,0
7368,/home/wences/Documents/corpus-26000/corpus-26000-bc/6780.jpg,0200.jpg,2384,2464,300,False,0
7369,/home/wences/Documents/corpus-26000/corpus-26000-bc/6781.jpg,0200.jpg,2384,2664,300,False,0
7370,/home/wences/Documents/corpus-26000/corpus-26000-bc/6782.jpg,0200.jpg,2584,2264,300,False,0
7371,/home/wences/Documents/corpus-26000/corpus-26000-bc/6783.jpg,0200.jpg,2584,2464,300,False,0
